director,movie,new_director
Amit Suryavanshi,Kamsin - The Untouched,No
Deepak Kumar Bandhu,Aakhari Decision,Yes
K. Ravi Shankar,Iqraar By Chance,No
Sunil Tiwari,Runway,No
Amit Chauhan,Me Mamu & 7,Yes
Arjun Raj,Hot Maliaka,No
Babu,Garam Saansein,Yes
Salim Raza,Bach Ke Zaraa,Yes
Chandini Gupta,Kaam Milan,No
Chandini Gupta,Agni Prem,No
Manish Manikpuri,Aalaap,Yes
Yogesh Bharadwaj,Miss Anara,No
Mahesh Pandey,332 Mumbai to India,Yes
Amit Roy,Running Shaadi,Yes
Manjul Kapoor,Ek Gumrah,Yes
Amrit Sagar,1971,Yes
Aniruddha Roy Chowdhury,Pink,Yes
Ashok Gupta,Yaar Meri Zindagi,Yes
Leena Yadav,Teen Patti,No
Mahesh Manjrekar,Viruddh... Family Comes First,No
Nitish Tiwari,Bhoothnath Returns,No
Puri Jagannadh,Bbuddah Hoga Terra Baap,No
R. Balki,Cheeni Kum,Yes
R. Balki,Paa,No
R. Balki,Shamitabh,No
Ram Gopal Verma,Sarkar,No
Ram Gopal Verma,Nishabd,No
Ram Gopal Verma,Ram Gopal Varma Ki Aag,No
Ram Gopal Verma,Sarkar Raj,No
Ram Gopal Verma,Sarkar 3,No
Rituparno Ghosh,The Last Lear,No
Romesh Sharma,Dil Jo Bhi Kahey,Yes
Sanjay Leela Bhansali,Black,No
Shoojit Sircar,Piku - Motion Se Hi Emotion,No
Vidhu Vinod Chopra,Eklavya - The Royal Guard,No
Vivek Sharma,Bhoothnath,Yes
Praveen Kumar,Jo Dooba So Paar,Yes
Anant Mahadevan,Staying Alive,No
Arvind Ranjan Das,Ghazab Nagariya,Yes
Imtiaz Patel,C D Kaand,Yes
Anay,Happy Husbands,Yes
Anees Bazmee,No Entry,No
Anees Bazmee,No Problem,No
Jijy Philip,My Wife's Murder,Yes
Subhash Ghai,Black & White,No
Nitin Raghunath,Mere Haule Dost,Yes
Kamal Swaroop,Om Dar-B-Dar,Yes
K.D. Satyam,Admission Open,Yes
Mahesh Manjrekar,City Of Gold - Mumbai 1982: Ek Ankahi Kahani,No
Nitin Mathur,Kahani Ek Sangharsh Ki,Yes
Janaki Vishwanathan,Yeh Hai Bakrapur,Yes
Antara Mali,Mr Ya Miss,Yes
Vinod Kapri,Miss Tanakpur Haazir Ho,Yes
Baldev Paal,Yeshu Palanhar,Yes
Ajmal Zaheer Ahmad,Perfect Mismatch,Yes
Shyamlal K. Mishra,Resham Dunkkk,Yes
Pankaj Sharma,Chhutanki,No
Devang Dholakia,3 Nights 4 Days,Yes
Jag Mundhra,Chase,No
Sachin Gupta,Paranthe Wali Gali,Yes
Arup Dutta,Morning Walk,Yes
Dibakar Banerjee,Khosla Ka Ghosla,Yes
Jahnu Barua,Maine Gandhi Ko Nahin Mara,Yes
Karan Razdan,Mr. Bhatti On Chutti,No
N. Chandra,Yeh Mera India,No
Ravindra Gautam,Ekkees Toppon Ki Salaami,Yes
Varun Khanna,American Blend,Yes
Deepak Goswami,Sai Yatraa - A Religious Love Story,Yes
Ravi Sinha,Retake,No
Ashok Kheny,Prem Kaa Game,Yes
Puneet Sira,Kisaan,No
Rajeev Walia,Tera Intezaar,Yes
Jay Prakash,Dee Saturday Night,No
Raaj Mukherjee,Chalo Picnic Manayen,Yes
B.M. Mirza,I'm In Love,Yes
Abhishek Varman,2 States,Yes
Amit Ravindernath Sharma,Tevar,Yes
Anees Bazmee,Mubarakan,No
Atul Sabharwal,Aurangzeb,Yes
Habib Faisal,Ishaqzaade,No
Mohit Suri,Half Girlfriend,No
Chander Mishra,Time Pass,Yes
Apoorva Lakhia,Ek Ajnabee,No
Ashim Ahluwalia,Daddy,Yes
Nikhil Advani,D Day,No
Prakash Jha,Chakravyuh,No
Satish Kaushik,Vaada,No
Sudhir Mishra,Inkaar,No
Vikram Bhatt,Elaan,No
Vivek Agrawal,I See You,Yes
Arif Ali,Lekar Hum Deewana Dil,Yes
Vinod Rikhhi,Yeh Figure Hai,Yes
Manoj Sharma,Bin Phere Free Me Ttere,No
Ajay Chandhok,Kisse Pyaar Karoon,No
Amrit Sagar,Rabba Main Kya Karoon,No
Ashish R. Mohan,Welcome 2 Karachi,No
Jaideep Sen,Krazzy 4,Yes
Kabeer Kaushik,Sehar,Yes
Kabeer Kaushik,Hum Tum Aur Ghost,No
Raj Kaushal,Anthony Kaun Hai?,No
Samar Khan,Kuchh Meetha Ho Jaye,Yes
Samir Tewari,Mr. Joe B. Carvalho,Yes
Subhash Kapoor,Jolly LLB,No
Subhash Kapoor,Guddu Rangeela,No
Tarique Khan,Ek Se Bure Do,Yes
Vinay Shukla,Mirch,No
Teerat Singh Johar,Charitraheen - Ek Naari Ki Vyatha,No
Aziz Sejawal,Paapi - Ek Satya Katha,No
Vickey S. Kumar,Raftaar - An Obsession,Yes
Ajay Kanchan,Aisa Kyon Hota Hai,Yes
Om Prakash Makkar,Mr. 100% - The Real Player,Yes
Shyam Ramsay,Ghutan,No
Aaditya Datt,Good Luck,No
Ashok Tyagi,It's Rocking Dard-E-Disco,No
Prakash Saini,Ek Aadat,No
Rajendra Shiv,Kyun Hua Achanak,Yes
Mahesh Kodiyal,Mai,Yes
S. Sachindra,Mumbai Can Dance Saalaa,Yes
Nikhil Singh,With Love. Delhi!,Yes
Soni Razdan,Nazar,Yes
Vinod Chhabra,Saanwariya - Khatu Shyamji Ki Amar Gaatha,No
Joy Mukherjee,Love In Bombay,Yes
Atul Sriva,College Campus,Yes
Sanjay Sharan,Vidhata Tere Khel Hain Nirale,Yes
Gurbir S. Grewal,Coffee House,Yes
Yogesh Bharadwaj,Shabnam Mousi,No
Imran Khalid,Dhadkanein,No
Abu Akbar,Gauri The Unborn,Yes
Anup Kurian,Manasarovar,Yes
Karan Razdan,Aagaah - The Warning,No
Priyadarshan,Bumm Bumm Bole,No
Bhabani Prasad,Baba Ramsaa Peer,Yes
Karan Kashyyap,Zindagi Jalebi,Yes
Tanvir Ahmad,Ada....A Way of life,Yes
Nagesh Kukunoor,Dor,No
Nagesh Kukunoor,Mod,No
Bhagirathi Swain,Sarfaroshi - A War Against System,Yes
Akshay Roy,Meri Pyaari Bindu,Yes
Ashwiny Iyer Tiwari,Bareilly Ki Barfi,No
Nupur Asthana,Bewakoofiyaan,No
R.S. Prasanna,Shubh Mangal Saavdhan,Yes
Rohan Sippy,Nautanki Saala,No
Sharat Katariya,Dum Laga Ke Haisha,No
Shoojit Sircar,Vicky Donor,No
Vibhu Puri,Hawaizaada,Yes
Ashfaque Makrani,Qasam Se Qasam Se,Yes
Adeeb Rais,Main Aur Mr. Riight,Yes
Chander Behl,Janani,Yes
Manish Shrivastava,Wife Hai To Life Hai,Yes
Akashaditya Lama,Cigarette Ki Tarah,Yes
Deepak Ramsay,Aatma,No
Madhur Bhandarkar,Corporate,No
Saurabh Shukla,Chehraa,No
Sudipto Chattopadhyay,Pankh,Yes
Vikram Bhatt,Creature 3D,No
Rana Jaiswal,Yaad Rakhenge Aap,No
Bunty Soorma,Humko Tumse Pyaar Hai,No
Kabeer Kaushik,Chamku,No
Rajeev Virani,Help,No
Samir Karnik,Nanhe Jaisalmer,No
Samir Karnik,Vaada Raha...,No
Sangeeth Sivan,Ek - The Power Of One,No
Suneel Darshan,Barsaat,No
Suneel Darshan,Shaka Laka Boom Boom,No
Vikram Bhatt,Jurm,No
B. Subhash,London Calling,No
Akashdeep,Santa Banta Pvt. Ltd.,No
Bela Sehgal,Shirin Farhad Ki Toh Nikal Padi,Yes
Shyam Benegal,Well Done Abba,No
Jenner Jose,Ooops A Desi,Yes
Mahesh Nair,Accident On Hill Road,Yes
Deepak Bengani,Ek Main Ek Tum,Yes
Shiv Dube,MLA,Yes
Suresh Jain,Laash - The Deadly Revenge,No
Ashish R. Shukla,Prague,Yes
Rafeeq Ellias,Love You To Death,Yes
Manikya Raju,Maruti Mera Dosst,Yes
Shekhar S. Jha,Prem Mayee,No
Ajit Bhairavkar,Mokssh,Yes
Tanveer Khan,Miley Naa Miley Hum,No
Babloo Sheshadri,Wake Up India,Yes
Kunal Vijayakar,Fruit & Nut,Yes
Shivajee Chandrabhushan,Frozen,Yes
Ashish Tyagi,Dilli Gang,Yes
Satyajit Bhatkal,Zokkomon,Yes
Kishan Shah,Today Expose,No
Jiten Purohit,Diwangi Ne Had Kar Di,Yes
Tutu Sinha,The Light - Swami Vivekananda,Yes
Bela Negi,Daayen Ya Baayen,Yes
K. Rajesh,Chor Chor Super Chor,Yes
Prakash Saini,Chal Bhaag,No
Sachin P. Karande,Vikalp,No
Homi Adajania,Finding Fanny,No
Deepshika,Yeh Dooriyaan,Yes
Ashok Nanda,Rivaaz,No
Sanjoy Nag,Memories in March,Yes
Sanjivan Lal,Bubble Gum,Yes
Dev Anand,Mr. Prime Minister,No
Dev Anand,Chargesheet,No
Kadar Kashmiri,Aman Ke Farisshtey,No
Ravi Varma,Karavaas - The Punishment,No
Manan Singh Katohora,9 Eleven,Yes
R.G. Sagonakha,Jalsa Ghar Ki Devi,Yes
Dil Kumar,Ram Balram Aur Ramkali,No
Anand L. Rai,Raanjhanaa,No
Smeep Kang,Second Hand Husband,Yes
V.K. Singh,Humraah - The Traitor,No
Amol Shetge,Naam Gum Jaayega,No
Ajay Bahl,B.A. Pass,Yes
Sidharth Srinivasan,Pairon Talle,Yes
Anshai Lal,Phillauri,Yes
Chandarsen Singh,Bollywood Villa,Yes
Shyam Shah,Phir Aik Saazish,Yes
Gurmmeet Singh,What The Fish,Yes
Irfan,Har Raat Naya Saudagar,No
